".id","MABIPA","ROVAPA","SAGAPA","WEFAPA"
"Avg.Surface.Temp..C.",1,NA,0.89,0.86
"Avg.Surface.Temp..C.",NA,NA,NA,NA
"Avg.Surface.Temp..C.",0.89,NA,1,0.85
"Avg.Surface.Temp..C.",0.86,NA,0.85,1
"Avg.Surface.DO..mg.L.",1,NA,0.25,0.11
"Avg.Surface.DO..mg.L.",NA,NA,NA,NA
"Avg.Surface.DO..mg.L.",0.25,NA,1,0.27
"Avg.Surface.DO..mg.L.",0.11,NA,0.27,1
"Avg.Surface.DO..Sat",1,NA,-0.02,-0.11
"Avg.Surface.DO..Sat",NA,NA,NA,NA
"Avg.Surface.DO..Sat",-0.02,NA,1,-0.07
"Avg.Surface.DO..Sat",-0.11,NA,-0.07,1
"Avg.Surface.pH",1,NA,0.08,-0.04
"Avg.Surface.pH",NA,NA,NA,NA
"Avg.Surface.pH",0.08,NA,1,0.03
"Avg.Surface.pH",-0.04,NA,0.03,1
"Avg.Surface.SpCond..uS.cm.",1,NA,-0.08,0.15
"Avg.Surface.SpCond..uS.cm.",NA,NA,NA,NA
"Avg.Surface.SpCond..uS.cm.",-0.08,NA,1,0.31
"Avg.Surface.SpCond..uS.cm.",0.15,NA,0.31,1
"Avg.Surface.Turbidity..FNU.",1,NA,0.97,-0.39
"Avg.Surface.Turbidity..FNU.",NA,NA,NA,NA
"Avg.Surface.Turbidity..FNU.",0.97,NA,1,-0.32
"Avg.Surface.Turbidity..FNU.",-0.39,NA,-0.32,1
"ANC_ueqL",1,NA,0.16,-0.13
"ANC_ueqL",NA,NA,NA,NA
"ANC_ueqL",0.16,NA,1,0.18
"ANC_ueqL",-0.13,NA,0.18,1
"AppColor_PCU",1,NA,0.71,0.01
"AppColor_PCU",NA,NA,NA,NA
"AppColor_PCU",0.71,NA,1,-0.02
"AppColor_PCU",0.01,NA,-0.02,1
"DOC_mgL",1,NA,0.48,0.06
"DOC_mgL",NA,NA,NA,NA
"DOC_mgL",0.48,NA,1,0.19
"DOC_mgL",0.06,NA,0.19,1
"ChlA_ugL",1,NA,0.73,0.16
"ChlA_ugL",NA,NA,NA,NA
"ChlA_ugL",0.73,NA,1,-0.2
"ChlA_ugL",0.16,NA,-0.2,1
"TP_ugL",1,NA,0.47,-0.32
"TP_ugL",NA,NA,NA,NA
"TP_ugL",0.47,NA,1,0.01
"TP_ugL",-0.32,NA,0.01,1
"TotDissP_ugL",1,NA,-0.14,0.02
"TotDissP_ugL",NA,NA,NA,NA
"TotDissP_ugL",-0.14,NA,1,-0.32
"TotDissP_ugL",0.02,NA,-0.32,1
"PO4_ugL",1,NA,0.91,0.93
"PO4_ugL",NA,NA,NA,NA
"PO4_ugL",0.91,NA,1,0.98
"PO4_ugL",0.93,NA,0.98,1
"TN_mgL",1,NA,0.43,0.65
"TN_mgL",NA,NA,NA,NA
"TN_mgL",0.43,NA,1,0.57
"TN_mgL",0.65,NA,0.57,1
"TotDissN_mgL",1,NA,0.24,0.16
"TotDissN_mgL",NA,NA,NA,NA
"TotDissN_mgL",0.24,NA,1,-0.24
"TotDissN_mgL",0.16,NA,-0.24,1
"NO2_mgL",NA,NA,NA,NA
"NO2_mgL",NA,NA,NA,NA
"NO2_mgL",NA,NA,1,NA
"NO2_mgL",NA,NA,NA,NA
"NO2.NO3_mgL",1,NA,0.85,NA
"NO2.NO3_mgL",NA,NA,NA,NA
"NO2.NO3_mgL",0.85,NA,1,NA
"NO2.NO3_mgL",NA,NA,NA,NA
"NO3N_Calc_mgL",NA,NA,NA,NA
"NO3N_Calc_mgL",NA,NA,NA,NA
"NO3N_Calc_mgL",NA,NA,1,NA
"NO3N_Calc_mgL",NA,NA,NA,NA
"NO3_ueqL",NA,NA,NA,NA
"NO3_ueqL",NA,NA,NA,NA
"NO3_ueqL",NA,NA,1,NA
"NO3_ueqL",NA,NA,NA,NA
"SO4_ueqL",1,NA,0.51,0.32
"SO4_ueqL",NA,NA,NA,NA
"SO4_ueqL",0.51,NA,1,0.25
"SO4_ueqL",0.32,NA,0.25,1
"Cl_ueqL",1,NA,0.66,0.67
"Cl_ueqL",NA,NA,NA,NA
"Cl_ueqL",0.66,NA,1,0.26
"Cl_ueqL",0.67,NA,0.26,1
